critical
2101,3
9.04,68.6,2.877
9.05,68.63,2.85
9.06,68.66,2.821
9.07,68.69,2.792
9.08,68.72,2.764
9.09,68.75,2.736
9.1,68.77,2.709
9.11,68.8,2.68
9.12,68.83,2.651
9.13,68.85,2.622
9.14,68.88,2.594
9.15,68.9,2.566
9.16,68.93,2.536
9.17,68.95,2.507
9.18,68.98,2.478
9.19,69,2.45
9.2,69.03,2.421
9.21,69.05,2.392
9.22,69.08,2.362
9.23,69.1,2.333
9.24,69.12,2.304
9.25,69.15,2.275
9.26,69.17,2.245
9.27,69.19,2.216
9.28,69.21,2.186
9.29,69.23,2.157
9.3,69.26,2.128
9.31,69.28,2.098
9.32,69.3,2.067
9.33,69.32,2.038
9.34,69.34,2.008
9.35,69.36,1.979
9.36,69.38,1.948
9.37,69.4,1.918
9.38,69.42,1.888
9.39,69.44,1.858
9.4,69.45,1.829
9.41,69.47,1.798
9.42,69.49,1.767
9.43,69.51,1.737
9.44,69.52,1.707
9.45,69.54,1.678
9.46,69.56,1.647
9.47,69.57,1.616
9.48,69.59,1.585
9.49,69.61,1.555
9.5,69.62,1.525
9.51,69.64,1.494
9.52,69.65,1.463
9.53,69.67,1.433
9.54,69.68,1.402
9.55,69.69,1.372
9.56,69.71,1.341
9.57,69.72,1.31
9.58,69.73,1.279
9.59,69.75,1.249
9.6,69.76,1.219
9.61,69.77,1.187
9.62,69.78,1.156
9.63,69.79,1.125
9.64,69.81,1.095
9.65,69.82,1.064
9.66,69.83,1.033
9.67,69.84,1.001
9.68,69.85,0.9705
9.69,69.86,0.94
9.7,69.87,0.9099
9.71,69.87,0.8782
9.72,69.88,0.8469
9.73,69.89,0.816
9.74,69.9,0.7854
9.75,69.91,0.7553
9.76,69.91,0.7236
9.77,69.92,0.6924
9.78,69.93,0.6615
9.79,69.93,0.6311
9.8,69.94,0.601
9.81,69.95,0.5695
9.82,69.95,0.5383
9.83,69.96,0.5076
9.84,69.96,0.4773
9.85,69.97,0.4474
9.86,69.97,0.4161
9.87,69.98,0.3852
9.88,69.98,0.3547
9.89,69.98,0.3247
9.9,69.99,0.2951
9.91,69.99,0.2642
9.92,69.99,0.2339
9.93,69.99,0.2039
9.94,69.99,0.1743
9.95,70,0.1452
9.96,70,-0.05696
9.97,70,-0.2562
9.98,69.99,-0.4527
9.99,69.99,-0.6464
10,69.98,-0.8373
10.01,69.97,-1.034
10.02,69.96,-1.227
10.03,69.94,-1.418
10.04,69.93,-1.606
10.05,69.91,-1.791
10.06,69.89,-1.982
10.07,69.87,-2.17
10.08,69.85,-2.355
10.09,69.83,-2.537
10.1,69.8,-2.717
10.11,69.77,-2.902
10.12,69.74,-3.084
10.13,69.71,-3.264
10.14,69.68,-3.44
10.15,69.64,-3.615
10.16,69.6,-3.794
10.17,69.57,-3.971
10.18,69.52,-4.145
10.19,69.48,-4.316
10.2,69.44,-4.485
10.21,69.39,-4.658
10.22,69.35,-4.83
10.23,69.3,-4.998
10.24,69.25,-5.164
10.25,69.19,-5.327
10.26,69.14,-5.496
10.27,69.08,-5.661
10.28,69.03,-5.824
10.29,68.97,-5.985
10.3,68.91,-6.143
10.31,68.84,-6.306
10.32,68.78,-6.466
10.33,68.71,-6.624
10.34,68.65,-6.779
10.35,68.58,-6.931
10.36,68.51,-7.089
10.37,68.44,-7.244
10.38,68.36,-7.396
10.39,68.29,-7.546
10.4,68.21,-7.693
10.41,68.14,-7.846
10.42,68.06,-7.995
10.43,67.98,-8.142
10.44,67.89,-8.287
10.45,67.81,-8.429
10.46,67.72,-8.576
10.47,67.64,-8.72
10.48,67.55,-8.862
10.49,67.46,-9.002
10.5,67.37,-9.139
10.51,67.28,-9.28
10.52,67.18,-9.42
10.53,67.09,-9.556
10.54,66.99,-9.691
10.55,66.9,-9.823
10.56,66.8,-9.959
10.57,66.7,-10.09
10.58,66.6,-10.22
10.59,66.49,-10.35
10.6,66.39,-10.48
10.61,66.28,-10.61
10.62,66.18,-10.74
10.63,66.07,-10.87
10.64,65.96,-10.99
10.65,65.85,-11.11
10.66,65.74,-11.24
10.67,65.62,-11.36
10.68,65.51,-11.49
10.69,65.39,-11.61
10.7,65.28,-11.72
10.71,65.16,-11.84
10.72,65.04,-11.96
10.73,64.92,-12.08
10.74,64.8,-12.19
10.75,64.68,-12.31
10.76,64.55,-12.42
10.77,64.43,-12.54
10.78,64.3,-12.65
10.79,64.17,-12.76
10.8,64.05,-12.87
10.81,63.92,-12.98
10.82,63.79,-13.09
10.83,63.66,-13.19
10.84,63.52,-13.3
10.85,63.39,-13.4
10.86,63.25,-13.51
10.87,63.12,-13.61
10.88,62.98,-13.71
10.89,62.84,-13.81
10.9,62.71,-13.91
10.91,62.57,-14.01
10.92,62.43,-14.11
10.93,62.28,-14.21
10.94,62.14,-14.31
10.95,62,-14.4
10.96,61.85,-14.5
10.97,61.71,-14.59
10.98,61.56,-14.68
10.99,61.41,-14.77
11,61.27,-14.86
11.01,61.12,-14.96
11.02,60.97,-15.05
11.03,60.82,-15.13
11.04,60.66,-15.22
11.05,60.51,-15.3
11.06,60.36,-15.39
11.07,60.2,-15.48
11.08,60.05,-15.56
11.09,59.89,-15.64
11.1,59.74,-15.72
11.11,59.58,-15.81
11.12,59.42,-15.89
11.13,59.26,-15.97
11.14,59.1,-16.04
11.15,58.94,-16.12
11.16,58.78,-16.2
11.17,58.62,-16.27
11.18,58.45,-16.35
11.19,58.29,-16.42
11.2,58.12,-16.49
11.21,57.96,-16.57
11.22,57.79,-16.64
11.23,57.63,-16.71
11.24,57.46,-16.78
11.25,57.29,-16.84
11.26,57.12,-16.91
11.27,56.95,-16.98
11.28,56.78,-17.05
11.29,56.61,-17.11
11.3,56.44,-17.17
11.31,56.27,-17.24
11.32,56.1,-17.3
11.33,55.92,-17.36
11.34,55.75,-17.42
11.35,55.57,-17.48
11.36,55.4,-17.54
11.37,55.22,-17.6
11.38,55.05,-17.66
11.39,54.87,-17.72
11.4,54.69,-17.77
11.41,54.51,-17.83
11.42,54.34,-17.88
11.43,54.16,-17.93
